"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Dryer_mouth",100,35,0.35,57,0.02,-0.00217069298245615,0.00681528263287069,-0.0013988095238096,0.000681528263287069,-0.0035229929154556,-0.000818393049456695
"RF","Hard_to_breathe_deeply",100,42,0.42,59,0.03,-0.0022343984962406,0.00802228127914879,-0.00171052631578946,0.000802228127914879,-0.00382619314668874,-0.000642603845792463
"RF","Coughing_fits",100,39,0.39,53,0.03,-0.00228193107769424,0.0080018836421629,-0.0015413533834586,0.00080018836421629,-0.0038696783944344,-0.000694183760954069
"RF","Difficult_sensing_smells",100,25,0.25,57,0,-0.00233013157894737,0.00484976417109953,-0.00090225563909773,0.000484976417109953,-0.00329243000689658,-0.00136783315099816
"RF","Slight_cough",100,30,0.3,59,0,-0.00235459649122807,0.00515191264045638,-0.00109147869674187,0.000515191264045638,-0.00337684773065665,-0.00133234525179948
"RF","Breathing_sound_squeaked_as_if_through_a_pipe",100,38,0.38,56.5,0,-0.00247177067669173,0.00715115166497518,-0.00124561403508767,0.000715115166497518,-0.00389071431239265,-0.00105282704099081
"RF","Do_not_enjoy_food",100,34,0.34,63,0.01,-0.0025973671679198,0.00744439779162446,-0.00195488721804511,0.000744439779162446,-0.00407449719716918,-0.00112023713867043
"RF","Dryer_skin",100,31,0.31,59,0,-0.00298112656641604,0.00733046237731638,-0.00176691729323305,0.000733046237731638,-0.0044356493376198,-0.00152660379521227
"RF","Felt_out_of_sorts",100,29,0.29,66,0,-0.00349676441102757,0.00628056800000566,-0.00274060150375941,0.000628056800000566,-0.00474296536014782,-0.00225056346190733
"RF","Poorer_condition_lower_fitness",100,33,0.33,73,0.08,-0.00460127192982457,0.0129245283442025,-0.00575438596491234,0.00129245283442025,-0.00716577875300714,-0.00203676510664199
"RF","Hoarse_voice",100,35,0.35,64.5,0.05,-0.00485759899749374,0.0113053862498673,-0.00239348370927311,0.00113053862498673,-0.0071008329016156,-0.00261436509337187
